Date,City,Period,O3,NO2,PM10,PM2.5
2020-02-10,Sheffield,Pandemic,72,10,10,5
2020-02-11,Edinburgh,Pandemic,69,19,8,4
2020-02-11,London,Pandemic,69,15,12,6
2020-02-11,Manchester,Pandemic,60,19,19,8
2020-02-11,Sheffield,Pandemic,73,8,11,5
2020-02-12,Edinburgh,Pandemic,64,20,8,4
2020-02-12,London,Pandemic,54,24,9,4
2020-02-12,Manchester,Pandemic,39,40,16,7
2020-02-12,Sheffield,Pandemic,59,18,11,5
2020-02-13,Edinburgh,Pandemic,56,20,10,5
2020-02-13,London,Pandemic,61,23,7,4
2020-02-13,Manchester,Pandemic,28,50,11,7
2020-02-13,Sheffield,Pandemic,56,22,6,4
2020-02-14,Edinburgh,Pandemic,62,13,9,5
2020-02-14,London,Pandemic,41,32,14,8
2020-02-14,Manchester,Pandemic,11,58,17,12
2020-02-14,Sheffield,Pandemic,39,26,11,7
2020-02-15,Edinburgh,Pandemic,73,8,10,5
2020-02-15,London,Pandemic,61,7,4,3
2020-02-15,Manchester,Pandemic,35,29,9,5
2020-02-15,Sheffield,Pandemic,54,15,7,4
2020-02-16,Edinburgh,Pandemic,79,4,9,5
2020-02-16,London,Pandemic,76,8,4,2
2020-02-16,Manchester,Pandemic,62,18,11,5
2020-02-16,Sheffield,Pandemic,80,8,6,3
2020-02-17,Edinburgh,Pandemic,70,9,7,4
2020-02-17,London,Pandemic,67,14,14,7
2020-02-17,Manchester,Pandemic,47,28,18,7
2020-02-17,Sheffield,Pandemic,69,9,10,5
2020-02-18,Edinburgh,Pandemic,68,15,6,3
2020-02-18,London,Pandemic,64,16,9,4
2020-02-18,Manchester,Pandemic,41,35,15,7
2020-02-18,Sheffield,Pandemic,68,11,9,4
2020-02-19,Edinburgh,Pandemic,65,13,8,4
2020-02-19,London,Pandemic,52,24,11,6
2020-02-19,Manchester,Pandemic,30,43,14,7
2020-02-19,Sheffield,Pandemic,57,20,10,5
2020-02-20,Edinburgh,Pandemic,65,21,5,3
2020-02-20,London,Pandemic,67,16,5,3
2020-02-20,Manchester,Pandemic,49,29,11,5
2020-02-20,Sheffield,Pandemic,71,13,5,3
2020-02-21,Edinburgh,Pandemic,73,6,3,2
2020-02-21,London,Pandemic,68,14,15,8
2020-02-21,Manchester,Pandemic,38,39,14,7
2020-02-21,Sheffield,Pandemic,68,14,10,5
2020-02-22,Edinburgh,Pandemic,76,13,9,5
2020-02-22,London,Pandemic,78,7,14,8
2020-02-22,Manchester,Pandemic,56,22,10,6
2020-02-22,Sheffield,Pandemic,78,9,6,3
2020-02-23,Edinburgh,Pandemic,63,19,6,3
2020-02-23,London,Pandemic,56,17,5,3
2020-02-23,Manchester,Pandemic,44,28,11,5
2020-02-23,Sheffield,Pandemic,67,18,8,4
2020-02-24,Edinburgh,Pandemic,50,25,4,2
2020-02-24,London,Pandemic,57,16,4,3
2020-02-24,Manchester,Pandemic,40,32,9,4
2020-02-24,Sheffield,Pandemic,63,17,5,3
2020-02-25,Edinburgh,Pandemic,51,35,4,2
2020-02-25,London,Pandemic,62,18,6,3
2020-02-25,Manchester,Pandemic,45,36,9,5
2020-02-25,Sheffield,Pandemic,71,17,6,3
2020-02-26,Edinburgh,Pandemic,56,28,6,3
2020-02-26,London,Pandemic,55,24,8,4
2020-02-26,Manchester,Pandemic,43,37,13,6
2020-02-26,Sheffield,Pandemic,70,17,8,4
2020-02-27,Edinburgh,Pandemic,60,27,6,3
2020-02-27,London,Pandemic,50,30,8,4
2020-02-27,Manchester,Pandemic,35,42,14,7
2020-02-27,Sheffield,Pandemic,66,17,9,5
2020-02-28,Edinburgh,Pandemic,46,27,7,4
2020-02-28,London,Pandemic,42,19,9,5
2020-02-28,Manchester,Pandemic,23,48,7,4
2020-02-28,Sheffield,Pandemic,41,35,7,4
2020-02-29,Edinburgh,Pandemic,67,12,5,3
2020-02-29,London,Pandemic,70,11,16,7
2020-02-29,Manchester,Pandemic,48,28,10,5
2020-02-29,Sheffield,Pandemic,77,10,7,3
2020-03-01,Edinburgh,Pandemic,76,7,6,3
2020-03-01,London,Pandemic,72,11,9,5
2020-03-01,Manchester,Pandemic,54,23,13,6
2020-03-01,Sheffield,Pandemic,77,10,12,5
2020-03-02,Edinburgh,Pandemic,72,10,8,4
2020-03-02,London,Pandemic,57,26,7,3
2020-03-02,Manchester,Pandemic,32,45,15,7
2020-03-02,Sheffield,Pandemic,55,26,14,6
2020-03-03,Edinburgh,Pandemic,54,28,8,4
2020-03-03,London,Pandemic,39,39,12,6
2020-03-03,Manchester,Pandemic,33,43,14,7
2020-03-03,Sheffield,Pandemic,61,20,11,5
2020-03-04,Edinburgh,Pandemic,44,34,12,5
2020-03-04,London,Pandemic,32,45,13,8
2020-03-04,Manchester,Pandemic,14,63,22,12
2020-03-04,Sheffield,Pandemic,31,46,32,13
2020-03-05,Edinburgh,Pandemic,25,51,22,9
2020-03-05,London,Pandemic,53,22,12,9
2020-03-05,Manchester,Pandemic,20,59,29,19
2020-03-05,Sheffield,Pandemic,32,44,25,16
2020-03-06,Edinburgh,Pandemic,35,37,16,9
2020-03-06,London,Pandemic,39,42,17,10
