Date,City,Pollutant,Concentration,Year,Month,YearMonth,Period
2020-01-06,Sheffield,NO2,13,2020,1,2020-01-01,Pandemic
2020-01-06,Sheffield,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-06,Sheffield,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-07,Edinburgh,O3,71,2020,1,2020-01-01,Pandemic
2020-01-07,Edinburgh,NO2,6,2020,1,2020-01-01,Pandemic
2020-01-07,Edinburgh,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-07,Edinburgh,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-07,London,NO2,21,2020,1,2020-01-01,Pandemic
2020-01-07,London,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-07,London,CO,0.11,2020,1,2020-01-01,Pandemic
2020-01-07,London,PM10,15,2020,1,2020-01-01,Pandemic
2020-01-07,London,PM2.5,9,2020,1,2020-01-01,Pandemic
2020-01-07,Manchester,O3,27,2020,1,2020-01-01,Pandemic
2020-01-07,Manchester,NO2,32,2020,1,2020-01-01,Pandemic
2020-01-07,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-07,Manchester,PM10,12,2020,1,2020-01-01,Pandemic
2020-01-07,Manchester,PM2.5,7,2020,1,2020-01-01,Pandemic
2020-01-07,Sheffield,O3,52,2020,1,2020-01-01,Pandemic
2020-01-07,Sheffield,NO2,17,2020,1,2020-01-01,Pandemic
2020-01-07,Sheffield,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-07,Sheffield,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-08,Edinburgh,O3,68,2020,1,2020-01-01,Pandemic
2020-01-08,Edinburgh,NO2,16,2020,1,2020-01-01,Pandemic
2020-01-08,Edinburgh,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-08,Edinburgh,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-08,London,NO2,28,2020,1,2020-01-01,Pandemic
2020-01-08,London,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-08,London,CO,0.13,2020,1,2020-01-01,Pandemic
2020-01-08,London,PM10,19,2020,1,2020-01-01,Pandemic
2020-01-08,London,PM2.5,11,2020,1,2020-01-01,Pandemic
2020-01-08,Manchester,O3,27,2020,1,2020-01-01,Pandemic
2020-01-08,Manchester,NO2,43,2020,1,2020-01-01,Pandemic
2020-01-08,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-08,Manchester,PM10,28,2020,1,2020-01-01,Pandemic
2020-01-08,Manchester,PM2.5,13,2020,1,2020-01-01,Pandemic
2020-01-08,Sheffield,O3,50,2020,1,2020-01-01,Pandemic
2020-01-08,Sheffield,NO2,26,2020,1,2020-01-01,Pandemic
2020-01-08,Sheffield,PM10,22,2020,1,2020-01-01,Pandemic
2020-01-08,Sheffield,PM2.5,12,2020,1,2020-01-01,Pandemic
