Site Type,Urban Background,,,,,,,,,,,,Urban Background,,,,,,,,,,,,Urban Background,,,,,,,,,,Urban Background,,,,,,,
Zone,Central Scotland,,,,,,,,,,,,Greater London,,,,,,,,,,,,North West & Merseyside,,,,,,,,,,Yorkshire & Humberside,,,,,,,
Agglomeration,Edinburgh Urban Area,,,,,,,,,,,,Greater London Urban Area,,,,,,,,,,,,Greater Manchester Urban Area,,,,,,,,,,Sheffield Urban Area,,,,,,,
Local Authority,Edinburgh,,,,,,,,,,,,Kensington,,,,,,,,,,,,Manchester,,,,,,,,,,Sheffield,,,,,,,
Date,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
1/17/2020,58,V ugm-3,23,V ugm-3,No data,V ugm-3,0.067,V mgm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),52,V ugm-3,24,V ugm-3,2,V ugm-3,0.14,V mgm-3,7,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),24,V ugm-3,49,V ugm-3,3,V ugm-3,12,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),54,V ugm-3,22,V ugm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
1/18/2020,45,V ugm-3,44,V ugm-3,No data,V ugm-3,0.057,V mgm-3,9,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),22,V ugm-3,44,V ugm-3,2,V ugm-3,0.21,V mgm-3,13,V ugm-3 (FIDAS),8,V ugm-3 (Ref.eq),25,V ugm-3,46,V ugm-3,1,V ugm-3,20,V ugm-3 (FIDAS),10,V ugm-3 (Ref.eq),58,V ugm-3,18,V ugm-3,13,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
1/19/2020,61,V ugm-3,16,V ugm-3,No data,V ugm-3,0.046,V mgm-3,8,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),10,V ugm-3,54,V ugm-3,3,V ugm-3,0.35,V mgm-3,20,V ugm-3 (FIDAS),14,V ugm-3 (Ref.eq),1,V ugm-3,59,V ugm-3,2,V ugm-3,22,V ugm-3 (FIDAS),19,V ugm-3 (Ref.eq),23,V ugm-3,52,V ugm-3,15,V ugm-3 (FIDAS),9,V ugm-3 (Ref.eq)
1/20/2020,61,V ugm-3,16,V ugm-3,No data,V ugm-3,0.042,V mgm-3,10,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),2,V ugm-3,67,V ugm-3,4,V ugm-3,0.3,V mgm-3,33,V ugm-3 (FIDAS),25,V ugm-3 (Ref.eq),2,V ugm-3,63,V ugm-3,2,V ugm-3,22,V ugm-3 (FIDAS),16,V ugm-3 (Ref.eq),41,V ugm-3,34,V ugm-3,10,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
1/21/2020,52,V ugm-3,24,V ugm-3,No data,V ugm-3,0.056,V mgm-3,5,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),2,V ugm-3,70,V ugm-3,4,V ugm-3,0.47,V mgm-3,37,V ugm-3 (FIDAS),28,V ugm-3 (Ref.eq),5,V ugm-3,61,V ugm-3,2,V ugm-3,25,V ugm-3 (FIDAS),16,V ugm-3 (Ref.eq),15,V ugm-3,67,V ugm-3,25,V ugm-3 (FIDAS),18,V ugm-3 (Ref.eq)
1/22/2020,46,V ugm-3,31,V ugm-3,No data,V ugm-3,0.056,V mgm-3,6,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),7,V ugm-3,53,V ugm-3,3,V ugm-3,0.29,V mgm-3,29,V ugm-3 (FIDAS),23,V ugm-3 (Ref.eq),4,V ugm-3,48,V ugm-3,1,V ugm-3,22,V ugm-3 (FIDAS),17,V ugm-3 (Ref.eq),8,V ugm-3,70,V ugm-3,25,V ugm-3 (FIDAS),18,V ugm-3 (Ref.eq)
1/23/2020,60,V ugm-3,20,V ugm-3,No data,V ugm-3,0.066,V mgm-3,4,V ugm-3 (FIDAS),2,V ugm-3 (Ref.eq),20,V ugm-3,41,V ugm-3,3,V ugm-3,0.15,V mgm-3,16,V ugm-3 (FIDAS),13,V ugm-3 (Ref.eq),4,V ugm-3,50,V ugm-3,2,V ugm-3,21,V ugm-3 (FIDAS),16,V ugm-3 (Ref.eq),13,V ugm-3,50,V ugm-3,21,V ugm-3 (FIDAS),16,V ugm-3 (Ref.eq)
1/24/2020,54,V ugm-3,19,V ugm-3,No data,V ugm-3,0.054,V mgm-3,3,V ugm-3 (FIDAS),2,V ugm-3 (Ref.eq),10,V ugm-3,43,V ugm-3,2,V ugm-3,0.2,V mgm-3,18,V ugm-3 (FIDAS),14,V ugm-3 (Ref.eq),20,V ugm-3,36,V ugm-3,1,V ugm-3,14,V ugm-3 (FIDAS),11,V ugm-3 (Ref.eq),43,V ugm-3,24,V ugm-3,8,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
1/25/2020,61,V ugm-3,9,V ugm-3,No data,V ugm-3,0.049,V mgm-3,4,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),28,V ugm-3,29,V ugm-3,1,V ugm-3,0.19,V mgm-3,27,V ugm-3 (FIDAS),20,V ugm-3 (Ref.eq),11,V ugm-3,38,V ugm-3,1,V ugm-3,19,V ugm-3 (FIDAS),14,V ugm-3 (Ref.eq),36,V ugm-3,23,V ugm-3,16,V ugm-3 (FIDAS),13,V ugm-3 (Ref.eq)
1/26/2020,63,V ugm-3,13,V ugm-3,No data,V ugm-3,0.069,V mgm-3,8,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),44,V ugm-3,20,V ugm-3,2,V ugm-3,0.12,V mgm-3,22,V ugm-3 (FIDAS),14,V ugm-3 (Ref.eq),23,V ugm-3,32,V ugm-3,2,V ugm-3,17,V ugm-3 (FIDAS),11,V ugm-3 (Ref.eq),39,V ugm-3,23,V ugm-3,16,V ugm-3 (FIDAS),11,V ugm-3 (Ref.eq)
1/27/2020,67,V ugm-3,16,V ugm-3,No data,V ugm-3,0.054,V mgm-3,7,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),54,V ugm-3,28,V ugm-3,3,V ugm-3,0.13,V mgm-3,7,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),24,V ugm-3,45,V ugm-3,1,V ugm-3,11,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),50,V ugm-3,25,V ugm-3,10,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq)
1/28/2020,62,V ugm-3,18,V ugm-3,No data,V ugm-3,0.052,V mgm-3,4,V ugm-3 (FIDAS),2,V ugm-3 (Ref.eq),58,V ugm-3,25,V ugm-3,2,V ugm-3,0.12,V mgm-3,6,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),37,V ugm-3,36,V ugm-3,1,V ugm-3,11,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),67,V ugm-3,13,V ugm-3,7,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq)
1/29/2020,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),51,V ugm-3,27,V ugm-3,2,V ugm-3,0.13,V mgm-3,14,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),42,V ugm-3,34,V ugm-3,2,V ugm-3,16,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),68,V ugm-3,13,V ugm-3,11,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
1/30/2020,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),48,V ugm-3,21,V ugm-3,3,V ugm-3,0.14,V mgm-3,7,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),34,V ugm-3,35,V ugm-3,2,V ugm-3,14,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),59,V ugm-3,14,V ugm-3,8,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
1/31/2020,64,V ugm-3,10,V ugm-3,No data,V ugm-3,0.058,V mgm-3,6,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),54,V ugm-3,16,V ugm-3,2,V ugm-3,0.11,V mgm-3,3,V ugm-3 (FIDAS),2,V ugm-3 (Ref.eq),25,V ugm-3,38,V ugm-3,2,V ugm-3,8,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),58,V ugm-3,12,V ugm-3,4,V ugm-3 (FIDAS),2,V ugm-3 (Ref.eq)
2/1/2020,62,V ugm-3,20,V ugm-3,No data,V ugm-3,0.067,V mgm-3,5,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),66,V ugm-3,13,V ugm-3,2,V ugm-3,0.11,V mgm-3,13,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),45,V ugm-3,26,V ugm-3,1,V ugm-3,20,V ugm-3 (FIDAS),10,V ugm-3 (Ref.eq),72,V ugm-3,8,V ugm-3,11,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
